#{"t_start": 1779171662.9293005, "env_id": "None"}
r,l,t
222.200406,103,104.750711
222.691868,105,104.818017
222.497883,104,104.883146
221.793603,102,104.947038
221.63337,103,105.010549
221.872886,103,105.076064
221.391859,101,105.140064
222.55297,104,105.206604
222.245863,103,105.91468
221.683189,102,105.97975
222.105346,103,106.044756
221.698344,103,106.110802
221.870574,102,106.175959
222.822017,104,106.241959
222.3776,104,106.308471
222.081231,102,106.373981
222.205938,104,106.439981
222.74814,104,106.506161
222.078214,103,107.216689
222.108515,102,107.281881
223.436507,107,107.348884
222.138824,104,107.412443
222.352916,103,107.477995
221.860656,102,107.541994
222.677825,104,107.607105
222.047321,103,107.67121
222.150698,103,107.735212
221.774758,103,107.801381
222.153957,103,108.517441
222.553039,104,108.582954
222.330599,104,108.647957
221.994056,102,108.713025
222.004921,102,108.777084
222.291156,103,108.843086
222.12469,103,108.909191
222.156114,103,108.97425
222.418512,104,109.041251
221.869283,102,109.105321
221.553342,103,109.823754
222.275145,103,109.891634
222.081038,103,109.956637
221.613212,103,110.021144
221.880474,102,110.084656
222.549581,104,110.150664
222.106429,103,110.216167
221.13024,101,110.278678
222.63959,105,110.344683
222.504268,104,110.409186
221.606948,102,111.122915
23.054902,500,111.436286
221.479118,104,111.501797
22.646463,500,112.469505
222.582214,104,112.536617
222.477646,104,112.603208
222.245229,103,112.668715
221.725286,102,112.732715
221.5134,103,112.799226
221.184176,102,112.862713
222.1181,103,112.92671
221.878893,102,112.990223
222.050253,103,113.710195
222.693557,104,113.776705
222.821949,104,113.842705
221.953592,103,113.907216
221.992039,102,113.972726
221.443872,103,114.037726
221.746324,102,114.101233
222.537736,104,114.165277
222.156683,103,114.230279
221.780373,103,114.295786
222.12638,103,115.014991
221.817725,104,115.081009
220.994164,103,115.147011
221.529601,104,115.211516
222.334092,103,115.277025
222.525551,104,115.341025
222.796521,105,115.406535
222.73573,104,115.472046
221.746744,103,115.537044
221.867331,103,115.604427
221.552581,102,116.322951
221.422504,102,116.387466
222.0008,103,116.453126
221.675696,103,116.518738
221.879515,103,116.58376
221.824218,103,116.648763
221.848888,103,116.714268
221.906958,103,116.778782
222.298976,103,116.843781
222.626168,104,116.910291
222.315922,103,117.633466
222.503541,104,117.698979
221.869566,103,117.766826
222.690209,104,117.832878
221.869818,102,117.896898
222.150949,103,117.9619
221.874792,103,118.026407
222.879234,105,118.093915
222.693596,104,118.158918
223.069935,105,118.87568
221.81926,102,118.93968
222.218594,103,119.005191
222.167374,103,119.070702
220.533983,102,119.13412
222.108324,103,119.198283
222.415341,104,119.263792
221.166448,102,119.328796
221.879735,102,119.393303
221.907127,102,119.457305
221.585924,102,120.181087
222.117031,103,120.246084
222.917795,105,120.313593
222.209712,103,120.378645
222.502794,103,120.444646
221.998488,102,120.508663
222.154552,103,120.573679
222.830548,105,120.640959
221.785356,103,120.706088
222.08059,103,120.771602
221.999635,102,121.49022
222.221631,103,121.556222
222.280195,103,121.620795
222.701647,104,121.687304
222.908012,105,121.753308
222.329015,103,121.818814
222.334348,103,121.884323
222.064044,103,121.949325
222.746721,104,122.015904
22.470349,500,122.985784
221.851961,102,123.048784
222.207647,103,123.112293
222.112795,102,123.175804
222.404888,104,123.241806
222.161733,103,123.307318
222.743918,104,123.371974
222.635599,104,124.085046
222.662049,104,124.151047
222.557406,104,124.217553
222.552265,105,124.284163
222.558666,104,124.350222
222.121551,103,124.415239
222.643186,104,124.480749
222.871352,105,124.546263
222.597565,104,124.611841
222.814575,105,124.678355
222.054623,104,125.393351
222.440794,104,125.457351
222.276871,104,125.521861
222.856438,104,125.587863
222.039038,103,125.653866
222.116005,103,125.718373
222.356718,103,125.783885
222.794261,104,125.849882
222.561847,104,125.917396
222.553454,104,125.982903
222.568364,104,126.698513
223.437635,106,126.76452
221.813332,102,126.829024
222.634102,105,126.896534
222.564483,104,126.962043
222.483807,104,127.028094
222.82273,105,127.400746
222.4087,104,127.465767
222.50674,104,127.532881
222.362147,103,127.597933
223.121553,106,128.309001
222.502211,104,128.374513
222.364245,104,128.438514
222.021509,103,128.502024
222.580066,104,128.568203
222.961296,105,128.634884
222.778627,104,128.700449
223.539004,106,128.766959
222.252179,103,128.831959
223.407062,106,128.899471
222.674824,105,129.614406
222.966243,105,129.679915
223.024945,105,129.746916
223.158657,105,129.813425
222.978613,105,129.878936
222.736757,105,129.945936
222.039866,103,130.010448
222.278886,103,130.075958
222.420681,103,130.141957
221.957952,102,130.858683
222.749855,105,130.92519
222.599798,104,130.990699
222.126506,103,131.054699
222.787975,105,131.12025
223.328618,106,131.188311
222.511857,104,131.253314
222.400566,105,131.319823
222.293285,103,131.385332
222.258637,104,131.451332
222.259105,103,132.166349
222.566103,104,132.233855
222.656269,104,132.300364
222.652492,104,132.366367
222.778235,105,132.432873
222.854145,104,132.499388
222.834597,104,132.564443
222.766555,104,132.629949
222.522731,103,132.694458
222.41782,103,132.760461
222.941496,105,133.479262
221.840283,102,133.543262
44.566316,500,133.856788
222.274221,103,133.922296
221.934827,102,133.986805
221.924416,103,134.053807
43.87335,500,135.011206
222.738639,104,135.077574
